"","P(0)","1-P(1)"
"Item1",0.1608,0.29
"Item2",0.2916,0.1894
"Item3",0.1763,0.1619
"Item4",0.2282,0.2534
"Item5",0.257,0.1724
"Item6",0.1715,0.1911
"Item7",0.2722,0.2568
"Item8",0.2536,0.2231
"Item9",0.152,0.2523
"Item10",0.2989,0.2061
"Item11",0.2773,0.2717
"Item12",0.2358,0.2336
"Item13",0.293,0.2337
"Item14",0.2156,0.2387
"Item15",0.2654,0.1723
"Item16",0.1863,0.2947
"Item17",0.1686,0.2577
"Item18",0.1875,0.2057
"Item19",0.1567,0.2324
"Item20",0.2062,0.291
"Item21",0.1887,0.2011
"Item22",0.1894,0.2305
"Item23",0.169,0.2218
"Item24",0.2314,0.2875
"Item25",0.2581,0.1638
"Item26",0.2222,0.219
"Item27",0.2363,0.2268
"Item28",0.1679,0.2571
"Item29",0.2884,0.1587
"Item30",0.1751,0.2568
