"","A1","A2","A3","A4","A5"
"ID1",0,0,0,0,1
"ID2",1,1,1,0,1
"ID3",0,0,0,0,1
"ID4",0,0,0,1,1
"ID5",1,0,0,1,1
"ID6",1,0,0,1,1
"ID7",0,0,0,0,0
"ID8",0,0,0,0,1
"ID9",0,0,0,0,1
"ID10",0,0,0,1,1
"ID11",0,0,1,1,1
"ID12",0,0,1,1,1
"ID13",0,1,0,1,1
"ID14",0,1,1,0,0
"ID15",0,1,1,1,1
"ID16",0,1,1,1,1
"ID17",0,1,1,1,1
"ID18",0,0,1,1,1
"ID19",0,1,0,1,1
"ID20",1,0,1,1,1
"ID21",0,0,0,1,1
"ID22",1,1,1,1,1
"ID23",0,0,1,1,1
"ID24",0,0,0,0,1
"ID25",0,0,1,1,1
"ID26",0,0,0,0,1
"ID27",1,1,1,1,1
"ID28",0,0,0,0,1
"ID29",0,0,0,0,1
"ID30",0,0,0,1,1
"ID31",0,0,1,1,1
"ID32",1,0,1,0,1
"ID33",1,1,1,1,1
"ID34",0,0,0,1,1
"ID35",0,0,1,1,1
"ID36",0,0,0,0,1
"ID37",0,0,1,1,1
"ID38",0,0,1,1,1
"ID39",0,0,1,1,1
"ID40",0,0,0,1,1
"ID41",0,0,0,0,0
"ID42",0,0,1,1,0
"ID43",0,0,0,1,0
"ID44",0,0,0,1,1
"ID45",0,1,1,1,1
"ID46",0,0,0,0,1
"ID47",0,0,1,1,1
"ID48",0,0,0,1,0
"ID49",0,0,0,1,1
"ID50",0,1,0,0,1
"ID51",0,0,1,1,1
"ID52",0,1,1,1,1
"ID53",0,1,1,1,1
"ID54",1,0,1,1,1
"ID55",1,0,1,1,1
"ID56",0,1,0,1,1
"ID57",0,0,0,1,1
"ID58",0,0,0,1,1
"ID59",0,1,0,1,1
"ID60",0,0,1,0,1
"ID61",0,0,0,0,1
"ID62",0,1,1,1,1
"ID63",0,0,0,1,1
"ID64",0,0,1,1,1
"ID65",0,0,0,1,0
"ID66",0,0,0,1,1
"ID67",0,0,1,1,1
"ID68",0,0,1,1,1
"ID69",0,1,0,1,1
"ID70",0,0,1,1,0
"ID71",0,0,1,1,1
"ID72",0,1,1,0,1
"ID73",1,0,1,1,1
"ID74",1,0,1,1,1
"ID75",0,0,0,0,1
"ID76",1,1,0,1,0
"ID77",0,0,0,1,1
"ID78",0,0,1,1,1
"ID79",1,0,0,1,1
"ID80",0,1,0,1,1
"ID81",0,0,0,1,0
"ID82",0,1,1,1,1
"ID83",1,1,1,1,1
"ID84",0,0,0,1,1
"ID85",0,0,0,0,1
"ID86",0,1,1,1,1
"ID87",0,0,1,0,1
"ID88",1,1,1,1,1
"ID89",1,1,0,0,1
"ID90",1,0,0,1,1
"ID91",1,0,1,1,1
"ID92",0,0,0,0,0
"ID93",0,0,0,1,1
"ID94",0,1,0,1,1
"ID95",0,0,0,1,1
"ID96",0,1,1,1,0
"ID97",0,0,0,0,1
"ID98",1,1,0,1,1
"ID99",0,0,0,1,1
"ID100",0,1,0,0,1
"ID101",0,1,1,1,1
"ID102",0,0,1,1,1
"ID103",0,0,1,1,1
"ID104",0,0,0,1,1
"ID105",0,1,1,0,1
"ID106",0,1,1,1,1
"ID107",1,0,1,0,1
"ID108",0,0,0,1,1
"ID109",0,0,0,0,0
"ID110",0,0,0,1,1
"ID111",0,0,1,1,0
"ID112",0,0,0,0,1
"ID113",1,1,1,1,1
"ID114",0,0,1,1,1
"ID115",0,0,0,1,1
"ID116",1,1,0,1,1
"ID117",0,1,0,1,1
"ID118",0,0,0,1,1
"ID119",0,1,1,1,1
"ID120",0,0,0,0,1
"ID121",0,0,0,0,1
"ID122",0,0,1,1,1
"ID123",1,1,1,1,1
"ID124",0,1,0,1,1
"ID125",0,1,1,0,1
"ID126",0,1,0,0,1
"ID127",0,0,1,0,1
"ID128",0,0,0,1,1
"ID129",0,0,1,1,0
"ID130",0,0,0,0,0
"ID131",1,0,0,1,1
"ID132",1,1,1,1,1
"ID133",0,0,0,0,1
"ID134",1,0,1,1,1
"ID135",0,0,0,0,0
"ID136",0,0,0,1,1
"ID137",0,0,0,1,1
"ID138",0,0,1,1,1
"ID139",1,0,0,1,1
"ID140",0,1,1,1,1
"ID141",0,0,0,1,0
"ID142",0,0,1,1,1
"ID143",0,1,0,1,1
"ID144",0,1,1,1,1
"ID145",0,0,1,1,0
"ID146",0,0,0,0,1
"ID147",0,1,0,1,1
"ID148",0,0,0,1,1
"ID149",0,0,0,1,1
"ID150",0,0,1,1,1
"ID151",0,1,0,1,1
"ID152",0,0,1,1,1
"ID153",0,0,0,1,1
"ID154",0,1,1,0,1
"ID155",0,0,1,1,1
"ID156",0,0,0,0,1
"ID157",0,0,0,1,1
"ID158",0,0,0,0,1
"ID159",0,0,0,0,1
"ID160",0,1,0,1,1
