"","P(0)","1-P(1)"
"Item1",0.1793,0.2708
"Item2",0.228,0.2156
"Item3",0.2668,0.2894
"Item4",0.2746,0.1935
"Item5",0.2624,0.238
"Item6",0.2023,0.2084
"Item7",0.203,0.2414
"Item8",0.28,0.1616
"Item9",0.1975,0.1534
"Item10",0.2567,0.1636
"Item11",0.2963,0.2626
"Item12",0.2966,0.2432
"Item13",0.1962,0.2546
"Item14",0.1603,0.2573
"Item15",0.2312,0.1607
"Item16",0.2956,0.2223
"Item17",0.172,0.2443
"Item18",0.2531,0.196
"Item19",0.2227,0.1662
"Item20",0.2014,0.2679
"Item21",0.2497,0.2402
"Item22",0.2555,0.2115
"Item23",0.2718,0.208
"Item24",0.2434,0.2073
"Item25",0.2482,0.2847
"Item26",0.1885,0.2033
"Item27",0.1664,0.2942
"Item28",0.2417,0.2567
"Item29",0.2171,0.2372
"Item30",0.2641,0.2405
