"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,1
"ID3",0,0,1
"ID4",0,0,1
"ID5",0,1,1
"ID6",0,1,1
"ID7",0,0,1
"ID8",0,1,1
"ID9",0,1,1
"ID10",0,0,1
"ID11",1,1,1
"ID12",0,0,1
"ID13",1,1,1
"ID14",0,1,1
"ID15",0,0,1
"ID16",0,1,1
"ID17",0,0,0
"ID18",1,1,1
"ID19",1,1,1
"ID20",0,0,1
"ID21",0,1,1
"ID22",0,0,1
"ID23",0,1,1
"ID24",0,0,1
"ID25",1,0,0
"ID26",0,0,1
"ID27",0,1,1
"ID28",0,1,0
"ID29",0,0,1
"ID30",1,0,1
"ID31",0,1,1
"ID32",0,1,1
"ID33",0,1,1
"ID34",0,0,1
"ID35",0,0,0
"ID36",0,1,1
"ID37",0,0,1
"ID38",0,1,0
"ID39",0,0,1
"ID40",0,0,1
"ID41",0,0,1
"ID42",1,1,1
"ID43",0,1,1
"ID44",0,0,1
"ID45",0,1,1
"ID46",1,1,1
"ID47",0,1,0
"ID48",0,0,1
"ID49",0,1,0
"ID50",0,1,1
"ID51",0,0,1
"ID52",0,1,1
"ID53",0,1,1
"ID54",0,0,1
"ID55",0,1,1
"ID56",1,0,1
"ID57",0,0,1
"ID58",0,1,1
"ID59",0,0,1
"ID60",1,1,1
"ID61",1,1,1
"ID62",0,1,1
"ID63",1,1,1
"ID64",0,1,1
"ID65",0,1,1
"ID66",0,1,0
"ID67",0,0,1
"ID68",0,0,1
"ID69",0,0,1
"ID70",0,1,1
"ID71",0,0,1
"ID72",0,1,0
"ID73",0,0,1
"ID74",1,1,1
"ID75",0,0,1
"ID76",0,1,1
"ID77",0,0,1
"ID78",1,0,1
"ID79",1,1,1
"ID80",0,0,1
"ID81",0,0,1
"ID82",0,1,1
"ID83",1,0,0
"ID84",0,1,1
"ID85",0,0,0
"ID86",0,1,1
"ID87",1,0,1
"ID88",1,1,1
"ID89",0,1,1
"ID90",0,1,1
"ID91",0,1,1
"ID92",0,1,0
"ID93",1,1,1
"ID94",1,1,1
"ID95",0,0,1
"ID96",0,0,1
"ID97",0,0,1
"ID98",0,0,1
"ID99",1,0,1
"ID100",0,0,1
"ID101",0,1,0
"ID102",0,0,1
"ID103",0,0,1
"ID104",0,0,1
"ID105",0,0,1
"ID106",0,1,1
"ID107",0,0,1
"ID108",0,1,1
"ID109",1,1,1
"ID110",0,1,1
"ID111",0,1,1
"ID112",1,1,1
"ID113",0,0,1
"ID114",1,1,1
"ID115",0,0,1
"ID116",1,1,1
"ID117",0,1,1
"ID118",0,0,0
"ID119",1,1,1
"ID120",0,1,1
"ID121",0,0,1
"ID122",0,1,0
"ID123",1,0,1
