"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",1,1,1,1,1,0,1,0,1,0
"ID2",0,0,1,0,1,0,1,0,1,0
"ID3",0,0,1,0,1,0,0,0,1,0
"ID4",0,0,1,0,1,0,1,0,0,0
"ID5",0,1,1,0,1,0,1,1,1,1
"ID6",0,1,1,1,1,0,0,1,1,1
"ID7",0,0,1,0,1,0,0,0,1,0
"ID8",0,1,1,1,1,0,0,0,1,0
"ID9",0,1,0,1,1,0,1,0,1,1
"ID10",0,0,0,1,1,0,1,0,1,0
"ID11",1,1,1,1,1,1,1,1,1,1
"ID12",0,0,1,1,1,0,1,0,0,0
"ID13",1,1,1,1,0,1,1,1,1,1
"ID14",1,1,1,0,1,1,1,0,1,1
"ID15",0,0,1,0,1,0,1,0,0,0
"ID16",0,1,1,1,1,1,0,0,1,0
"ID17",0,0,0,0,0,0,0,0,0,0
"ID18",1,1,1,1,1,1,1,1,1,1
"ID19",1,1,0,1,1,1,1,1,1,0
"ID20",0,0,1,0,1,0,0,0,1,0
"ID21",0,1,1,0,1,0,1,0,1,1
"ID22",0,1,1,1,1,0,1,0,1,0
"ID23",0,1,0,1,0,1,1,0,1,0
"ID24",0,0,1,1,1,0,0,0,1,0
"ID25",1,0,0,0,0,0,0,1,0,0
"ID26",1,0,1,0,0,0,0,0,0,0
"ID27",0,1,1,1,1,1,0,0,1,0
"ID28",0,1,0,0,0,1,0,0,0,1
"ID29",0,0,1,1,1,1,1,1,1,0
"ID30",1,0,1,1,0,1,1,1,0,1
"ID31",1,1,0,1,1,0,0,0,1,1
"ID32",0,1,1,1,1,1,0,1,1,0
"ID33",0,1,1,1,1,1,0,1,1,0
"ID34",0,0,1,1,1,0,0,0,0,0
"ID35",1,0,0,0,0,0,0,0,0,0
"ID36",0,1,1,0,1,1,0,0,1,1
"ID37",1,0,1,0,1,0,1,1,0,0
"ID38",0,0,0,0,0,0,0,1,0,1
"ID39",0,0,1,1,1,0,0,0,0,0
"ID40",1,0,1,1,1,0,1,0,0,0
"ID41",0,0,1,1,1,0,1,0,0,0
"ID42",1,1,1,1,1,1,1,1,1,0
"ID43",0,1,1,1,1,1,0,0,1,0
"ID44",0,1,1,1,1,0,0,0,1,0
"ID45",0,0,1,0,1,0,1,0,1,1
"ID46",1,1,1,1,1,1,1,1,1,1
"ID47",0,1,0,0,0,0,0,0,1,1
"ID48",1,0,1,0,1,0,1,0,1,0
"ID49",0,1,0,0,1,0,0,0,1,0
"ID50",0,0,1,0,1,0,1,1,1,1
"ID51",0,0,1,1,1,0,1,0,0,0
