"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,1,0,0,0,1,0
"ID2",0,0,1,0,0,0,0,0,0,0
"ID3",0,1,1,0,0,1,0,0,1,0
"ID4",0,1,1,0,1,0,0,0,1,0
"ID5",0,0,1,0,1,0,0,0,0,1
"ID6",0,0,1,0,0,0,0,0,0,1
"ID7",1,1,1,1,1,1,1,0,1,1
"ID8",0,1,1,0,1,0,0,0,1,0
"ID9",1,0,1,0,0,0,0,0,0,0
"ID10",0,0,1,0,0,0,0,1,0,0
"ID11",1,1,1,1,1,0,1,1,1,1
"ID12",1,1,1,1,1,1,1,1,1,1
"ID13",0,1,1,0,1,0,0,0,1,0
"ID14",0,1,0,0,0,0,0,0,0,0
"ID15",0,0,1,0,0,0,0,0,0,0
"ID16",0,1,1,0,1,0,0,0,1,0
"ID17",1,0,1,1,1,1,1,0,0,0
"ID18",1,1,1,1,1,1,1,1,1,1
"ID19",1,0,1,0,0,0,0,0,0,0
"ID20",0,1,1,0,1,0,0,0,1,0
"ID21",0,0,1,0,0,0,0,0,0,0
"ID22",0,1,1,0,1,0,0,0,1,1
"ID23",1,1,1,1,0,1,1,1,1,0
"ID24",0,1,1,0,1,0,0,0,1,0
"ID25",0,1,1,0,1,0,0,0,0,0
"ID26",1,0,1,1,0,0,1,0,0,0
"ID27",0,0,0,0,0,0,0,0,0,0
"ID28",0,0,1,0,0,1,0,0,0,0
"ID29",0,0,1,0,0,0,0,0,0,0
"ID30",0,1,1,0,1,0,0,0,1,0
"ID31",0,1,1,0,1,0,0,0,1,0
"ID32",0,1,0,0,1,0,0,0,0,0
"ID33",0,1,1,0,1,0,0,0,1,0
"ID34",0,1,1,0,1,0,0,0,1,1
"ID35",0,1,1,0,1,0,0,1,0,0
"ID36",0,1,1,0,0,1,0,0,0,1
"ID37",0,0,1,0,1,0,0,0,0,0
"ID38",0,0,1,0,0,0,0,0,0,0
"ID39",0,1,1,0,0,0,0,0,1,0
"ID40",0,1,1,0,0,1,0,0,1,0
"ID41",0,1,1,0,0,0,0,0,0,0
"ID42",0,0,1,0,0,1,0,0,0,0
"ID43",0,0,1,0,0,0,0,0,0,0
"ID44",0,1,1,0,0,1,0,1,1,0
"ID45",0,0,1,0,0,0,0,0,0,0
"ID46",0,1,0,0,1,0,0,0,0,1
"ID47",0,0,0,0,0,0,0,0,0,0
"ID48",0,0,0,0,0,0,0,0,0,0
"ID49",0,0,0,0,0,1,0,0,0,0
"ID50",0,0,1,0,0,0,0,0,0,0
"ID51",0,0,1,0,1,0,0,0,0,0
"ID52",0,1,1,0,1,0,0,0,1,0
"ID53",0,0,1,0,0,0,0,0,0,0
"ID54",0,1,1,0,1,0,0,0,1,0
"ID55",0,1,1,0,1,0,0,0,1,0
"ID56",0,1,1,0,1,0,0,0,1,0
"ID57",1,1,1,1,1,1,1,1,1,1
"ID58",0,1,0,0,0,1,0,0,0,0
"ID59",0,1,1,0,1,0,0,0,1,0
"ID60",0,1,1,0,1,0,0,0,1,0
"ID61",0,0,1,0,1,0,0,0,0,0
"ID62",1,0,1,0,0,1,0,0,0,0
"ID63",0,1,1,1,1,0,0,0,1,1
"ID64",0,1,1,0,1,1,0,0,1,0
"ID65",0,0,1,1,0,0,1,0,0,0
"ID66",0,1,0,0,0,1,0,0,0,0
"ID67",0,0,1,0,1,0,0,1,0,0
"ID68",0,0,0,0,0,0,0,0,0,0
"ID69",0,1,1,0,1,0,0,0,0,0
"ID70",0,0,1,0,0,0,0,0,0,0
"ID71",0,0,1,0,0,0,0,0,0,0
"ID72",0,0,1,0,1,0,0,0,1,0
"ID73",1,0,0,1,0,1,0,0,0,1
"ID74",0,1,1,1,1,0,0,0,1,0
"ID75",0,0,1,0,0,0,0,0,0,0
"ID76",0,0,1,1,0,0,0,0,1,1
"ID77",0,1,0,0,0,0,0,0,0,0
"ID78",0,0,1,0,0,0,0,0,0,0
"ID79",0,1,0,0,0,0,0,0,0,0
"ID80",0,1,1,1,0,0,0,0,1,0
"ID81",0,0,1,0,0,0,0,0,0,0
"ID82",1,1,1,0,1,0,0,0,1,0
"ID83",0,1,1,0,1,1,0,0,1,0
"ID84",0,1,1,0,0,0,0,0,1,0
"ID85",0,1,0,0,0,0,0,0,0,0
"ID86",0,1,1,0,1,0,0,0,1,1
"ID87",0,0,0,0,0,1,0,0,0,0
"ID88",1,1,1,1,1,1,1,1,1,1
"ID89",0,0,1,0,0,0,0,0,0,0
"ID90",0,0,1,0,0,0,0,0,0,1
"ID91",0,1,0,0,0,1,0,0,0,0
"ID92",1,1,1,0,1,0,0,0,1,0
"ID93",0,0,1,1,1,0,0,0,0,0
"ID94",0,0,0,0,0,0,0,0,0,0
"ID95",0,0,1,0,0,0,0,0,0,0
"ID96",0,1,1,0,0,0,0,0,0,0
"ID97",0,1,1,0,1,0,0,0,1,0
"ID98",1,1,1,1,1,1,1,1,1,1
"ID99",0,0,1,0,0,0,0,0,0,1
"ID100",0,0,1,0,0,0,0,0,0,1
