"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,0,1,1,0,0,0,0,0,0
"ID2",0,1,1,1,1,1,0,1,1,1
"ID3",0,1,1,1,0,1,0,1,1,1
"ID4",0,1,1,1,0,0,0,0,1,0
"ID5",0,0,1,1,1,1,0,1,1,1
"ID6",0,1,0,0,0,1,0,1,0,0
"ID7",0,0,1,1,0,1,0,0,0,0
"ID8",1,0,1,1,0,1,1,0,1,0
"ID9",0,1,1,1,1,0,1,1,0,1
"ID10",1,1,1,1,1,1,1,1,1,0
"ID11",0,1,1,1,1,1,0,0,1,1
"ID12",0,1,1,1,1,1,0,0,1,0
"ID13",0,1,1,1,1,1,0,1,1,1
"ID14",0,1,1,1,1,0,0,0,1,0
"ID15",1,0,1,1,1,1,1,1,0,1
"ID16",0,0,1,1,0,0,0,0,0,0
"ID17",1,1,1,1,1,1,1,1,1,1
"ID18",0,1,1,1,1,1,0,1,1,0
"ID19",1,0,1,1,1,0,0,0,1,1
"ID20",0,1,1,1,1,0,0,0,1,1
"ID21",0,0,1,1,0,0,0,0,1,0
"ID22",0,0,1,1,0,0,0,1,0,0
"ID23",0,0,1,1,1,1,0,1,1,1
"ID24",0,1,1,1,1,1,0,1,1,0
"ID25",0,1,1,1,1,1,0,0,1,0
"ID26",0,1,1,1,1,0,0,1,0,1
"ID27",0,1,1,1,1,1,0,0,1,0
"ID28",0,0,0,0,0,0,0,0,0,0
"ID29",1,0,1,1,0,0,0,0,1,1
"ID30",0,0,0,0,0,0,0,0,0,0
"ID31",0,1,1,1,1,0,0,0,1,1
"ID32",0,1,1,1,1,1,0,0,1,1
"ID33",0,0,1,1,1,0,0,1,1,1
"ID34",1,1,1,1,1,1,1,0,1,1
"ID35",1,0,0,0,0,0,0,0,0,1
"ID36",0,1,1,1,1,1,0,0,1,1
"ID37",0,0,1,1,1,0,0,0,0,1
"ID38",0,1,1,1,1,1,0,1,0,1
"ID39",0,1,1,1,1,1,0,0,1,1
"ID40",0,0,0,0,0,0,0,0,0,0
"ID41",0,1,1,1,1,0,0,0,1,1
"ID42",0,0,0,1,0,0,0,0,1,0
"ID43",0,1,1,1,1,0,0,0,1,1
"ID44",1,0,1,1,0,0,1,0,1,0
"ID45",0,0,1,1,0,0,0,0,1,1
"ID46",1,1,1,1,0,1,0,1,1,1
"ID47",0,0,1,1,0,0,0,0,1,0
"ID48",0,1,1,1,1,1,0,0,1,0
"ID49",0,1,1,1,1,1,0,1,1,0
"ID50",0,0,1,1,0,0,0,0,0,1
"ID51",0,1,1,0,1,1,0,1,1,1
"ID52",1,0,1,1,0,0,1,1,0,1
"ID53",0,1,1,1,0,1,0,1,1,1
"ID54",0,0,1,1,1,0,0,0,0,1
"ID55",0,0,1,1,1,0,0,0,1,0
"ID56",0,0,1,1,1,0,0,0,0,0
"ID57",0,0,1,0,0,0,0,0,1,1
"ID58",0,0,0,0,0,0,0,1,1,0
"ID59",0,0,1,1,1,0,0,0,1,0
"ID60",1,0,1,1,1,0,0,0,1,1
"ID61",0,1,0,0,0,1,0,1,1,0
"ID62",0,1,1,1,1,1,0,0,1,1
"ID63",1,0,0,1,1,0,0,0,1,0
"ID64",0,0,1,1,0,0,0,0,0,1
"ID65",0,1,0,0,1,0,0,1,1,0
