"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10"
"ID1",0,1,1,0,1,0,1,1,1,1
"ID2",0,0,0,0,0,0,0,0,0,0
"ID3",0,1,1,1,1,0,1,1,1,0
"ID4",0,1,1,0,1,0,1,1,1,1
"ID5",0,0,1,0,0,1,1,0,1,0
"ID6",0,0,0,1,0,0,1,0,1,0
"ID7",0,0,1,0,0,1,1,0,1,0
"ID8",0,0,1,0,0,1,1,0,0,1
"ID9",0,0,1,0,0,0,1,0,1,0
"ID10",0,1,1,0,1,0,1,1,1,1
"ID11",1,1,1,1,1,0,1,1,1,1
"ID12",0,1,1,0,0,0,1,0,1,0
"ID13",0,0,1,0,0,0,1,0,1,1
"ID14",0,1,1,0,1,0,1,0,1,0
"ID15",0,1,1,0,1,0,1,1,1,1
"ID16",0,1,1,1,1,0,1,1,1,1
"ID17",0,1,1,0,1,0,1,1,0,1
"ID18",1,1,1,0,1,1,1,1,1,1
"ID19",0,0,1,0,0,0,1,0,0,0
"ID20",1,0,1,0,0,1,1,0,1,1
"ID21",0,0,1,0,0,0,1,0,0,0
"ID22",0,1,1,1,1,0,1,0,1,0
"ID23",0,1,1,1,1,0,1,1,1,1
"ID24",0,1,1,0,1,0,1,1,1,0
"ID25",0,0,1,1,1,0,0,0,1,1
"ID26",1,1,1,1,1,1,1,1,1,1
"ID27",0,0,1,0,0,1,1,0,0,0
"ID28",1,0,1,0,0,0,1,0,0,0
"ID29",0,0,1,0,0,0,1,0,1,0
"ID30",1,0,1,1,1,1,1,1,1,1
"ID31",0,0,0,0,0,0,0,0,1,0
"ID32",0,0,1,0,0,0,1,0,0,0
"ID33",1,0,0,0,0,0,0,0,0,0
"ID34",0,1,1,0,1,0,1,1,1,0
"ID35",1,0,1,0,0,0,1,0,0,0
"ID36",0,0,0,0,0,0,0,0,0,0
"ID37",1,1,0,0,0,1,0,1,0,1
"ID38",0,0,1,1,0,0,1,0,1,0
"ID39",0,0,1,0,0,0,1,0,0,0
"ID40",0,1,0,0,1,0,1,1,1,0
"ID41",0,0,1,0,1,0,1,0,1,0
"ID42",1,1,1,1,1,1,1,1,1,1
"ID43",0,0,1,0,0,0,1,0,0,0
"ID44",0,1,1,0,1,0,1,1,0,1
"ID45",0,0,1,0,1,0,1,0,1,0
"ID46",0,1,1,1,1,0,1,1,1,0
"ID47",0,1,0,1,0,0,0,0,0,0
"ID48",0,1,1,0,0,0,1,0,1,0
