"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID2",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
"ID3",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"ID4",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"ID5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ID6",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID7",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
"ID8",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"ID9",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID10",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID11",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID12",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID13",0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID14",0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"ID15",0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"ID16",0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"ID17",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"ID18",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID19",0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1
"ID20",0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
"ID21",0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1
"ID22",0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0
"ID23",0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"ID24",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID25",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"ID26",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"ID27",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID28",1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"ID29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID30",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ID31",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ID32",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"ID33",0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
"ID34",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID35",0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID36",0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"ID37",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ID38",0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0
"ID39",0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1
"ID40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ID41",0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"ID42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID43",1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1
"ID44",1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID45",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID46",0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
"ID47",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ID48",0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0
"ID49",0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
"ID50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"ID51",0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
"ID52",0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"ID53",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"ID54",1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"ID55",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ID56",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ID57",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"ID58",0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID59",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
