"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"ID2",1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0
"ID3",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"ID4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"ID5",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"ID6",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"ID7",0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID8",0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
"ID9",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0
"ID10",0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
"ID11",0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
"ID12",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"ID13",0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"ID14",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"ID15",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"ID16",0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
"ID17",0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0
"ID18",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"ID19",1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1
"ID20",0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0
"ID21",0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1
"ID22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
