"","A1","A2","A3"
"ID1",0,1,1
"ID2",0,1,1
"ID3",0,1,0
"ID4",0,0,1
"ID5",1,0,1
"ID6",0,0,1
"ID7",1,1,1
"ID8",0,1,1
"ID9",0,0,1
"ID10",0,1,1
"ID11",0,0,1
"ID12",0,0,0
"ID13",0,1,1
"ID14",0,0,0
"ID15",0,0,0
"ID16",0,0,1
"ID17",0,0,0
"ID18",1,0,1
"ID19",0,1,0
"ID20",0,0,1
"ID21",0,0,1
"ID22",1,1,1
"ID23",0,1,1
"ID24",0,1,1
"ID25",0,0,1
"ID26",0,1,1
"ID27",0,0,1
"ID28",0,0,1
"ID29",0,1,1
"ID30",0,1,1
"ID31",0,1,1
"ID32",1,0,1
"ID33",0,1,1
"ID34",1,0,1
"ID35",0,1,1
"ID36",1,1,1
"ID37",0,0,1
"ID38",1,1,1
"ID39",0,1,1
"ID40",0,0,1
"ID41",0,1,1
"ID42",0,0,1
"ID43",0,1,1
"ID44",0,0,1
"ID45",0,0,1
"ID46",0,1,1
"ID47",0,0,1
"ID48",0,0,1
"ID49",0,1,1
"ID50",0,0,0
"ID51",0,1,1
"ID52",0,0,0
"ID53",0,0,1
"ID54",1,0,1
"ID55",0,1,1
"ID56",0,1,1
"ID57",0,1,1
"ID58",0,1,1
"ID59",1,1,1
"ID60",1,0,1
"ID61",1,0,1
"ID62",0,1,1
"ID63",0,0,1
"ID64",1,1,1
"ID65",0,1,1
"ID66",1,1,1
"ID67",0,1,1
"ID68",0,1,1
"ID69",0,0,1
"ID70",0,1,1
"ID71",1,1,1
"ID72",0,1,1
"ID73",0,1,1
"ID74",0,0,1
"ID75",0,0,1
"ID76",0,0,1
"ID77",0,0,1
"ID78",0,1,1
"ID79",0,1,1
"ID80",0,0,1
"ID81",0,1,1
"ID82",0,1,1
"ID83",0,0,1
"ID84",0,0,1
"ID85",0,0,1
"ID86",0,1,1
"ID87",1,0,1
"ID88",0,0,1
"ID89",0,0,1
"ID90",0,0,1
"ID91",0,1,1
"ID92",0,1,1
"ID93",0,0,1
"ID94",0,1,0
"ID95",1,1,1
"ID96",1,0,1
"ID97",0,0,1
"ID98",1,0,1
"ID99",0,0,1
"ID100",0,1,1
"ID101",0,0,1
"ID102",0,0,1
"ID103",0,1,0
"ID104",0,0,1
"ID105",1,1,1
"ID106",0,1,1
"ID107",1,1,1
"ID108",0,0,1
"ID109",0,1,1
"ID110",1,0,1
"ID111",0,1,1
"ID112",0,1,1
"ID113",0,0,1
"ID114",0,0,0
"ID115",0,1,1
"ID116",1,1,1
"ID117",0,0,1
"ID118",0,1,1
"ID119",0,1,1
"ID120",1,1,1
"ID121",0,1,1
"ID122",0,1,1
"ID123",0,0,1
