"","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"ID1",1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
"ID2",1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"ID3",0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"ID4",0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
"ID5",1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
"ID6",0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1
"ID7",0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1
"ID8",0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1
"ID9",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ID10",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ID11",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"ID12",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"ID13",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
"ID14",0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"ID15",0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0
"ID16",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ID17",1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
"ID18",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ID19",1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"ID20",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ID21",1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
"ID22",0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1
"ID23",1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"ID24",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"ID25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ID26",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"ID27",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ID28",0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"ID29",1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1
"ID30",0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1
"ID31",1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
"ID32",0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1
"ID33",0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"ID34",1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1
"ID35",1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
"ID36",1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0
"ID37",1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
"ID38",1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1
"ID39",1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
"ID40",0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0
"ID41",0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"ID42",0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"ID43",0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"ID44",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"ID45",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ID46",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ID47",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
"ID48",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"ID49",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0
"ID50",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"ID51",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"ID52",0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"ID53",0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"ID54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
