"","A1","A2","A3","A4","A5"
"ID1",0,0,1,1,1
"ID2",0,0,1,1,0
"ID3",0,0,0,0,0
"ID4",0,0,0,1,0
"ID5",0,0,1,1,1
"ID6",0,1,0,1,1
"ID7",0,1,0,1,1
"ID8",0,1,0,1,1
"ID9",0,0,0,0,1
"ID10",1,1,1,0,1
"ID11",0,0,0,1,1
"ID12",1,0,0,1,1
"ID13",0,0,0,1,1
"ID14",1,0,0,1,1
"ID15",0,0,0,0,0
"ID16",0,1,1,1,1
"ID17",1,1,1,0,1
"ID18",0,0,1,1,1
"ID19",0,0,0,1,1
"ID20",0,0,1,1,1
"ID21",0,1,1,0,1
"ID22",0,1,0,1,1
"ID23",0,1,1,1,1
"ID24",0,0,0,0,1
"ID25",0,0,0,0,1
"ID26",1,0,0,1,1
"ID27",0,1,0,1,1
"ID28",1,0,1,0,1
"ID29",0,0,0,0,1
"ID30",0,0,1,1,1
"ID31",1,0,0,0,1
"ID32",0,0,1,1,1
"ID33",0,0,1,1,1
"ID34",0,0,0,0,1
"ID35",0,1,0,1,1
"ID36",0,0,0,1,1
"ID37",0,1,0,1,1
"ID38",0,0,1,0,0
"ID39",0,0,0,0,1
"ID40",0,0,1,0,1
"ID41",0,0,0,0,0
"ID42",0,1,1,1,1
"ID43",0,1,1,1,1
"ID44",0,1,1,1,0
"ID45",0,0,1,1,1
"ID46",0,0,0,0,1
"ID47",0,0,1,0,1
"ID48",0,0,1,1,0
"ID49",0,0,1,1,1
"ID50",1,1,1,1,1
"ID51",0,0,1,1,1
"ID52",0,1,1,1,0
"ID53",0,0,0,1,1
"ID54",0,0,0,0,1
"ID55",0,0,1,1,0
"ID56",1,0,1,1,1
"ID57",0,1,1,1,1
"ID58",0,0,0,1,1
"ID59",0,0,1,1,1
"ID60",0,0,1,1,1
"ID61",0,1,1,1,1
"ID62",1,0,1,1,1
"ID63",0,1,1,1,1
"ID64",1,1,1,1,1
"ID65",0,0,0,0,0
