"","P(0)","1-P(1)"
"Item1",0.1207,0.0845
"Item2",0.0681,0.0731
"Item3",0.0844,0.1011
"Item4",0.0365,0.1113
"Item5",0.1315,0.0632
"Item6",0.1309,0.0588
"Item7",0.0635,0.0984
"Item8",0.0822,0.0434
"Item9",0.0727,0.1182
"Item10",0.0337,0.0109
"Item11",0.081,0.0147
"Item12",0.0225,0.1104
"Item13",0.0856,0.0049
"Item14",0.0633,0.0561
"Item15",0.0537,0.061
"Item16",0.066,0.1453
"Item17",0.0677,0.0993
"Item18",0.1226,0.1037
"Item19",0.0596,0.1456
"Item20",0.01,0.0798
"Item21",0.0802,0.0432
"Item22",0.054,4e-04
"Item23",0.1403,0.0051
"Item24",0.0563,0.0857
"Item25",0.061,0.0821
"Item26",0.0634,0.0096
"Item27",0.0199,0.127
"Item28",0.1328,0.044
"Item29",0.0568,0.041
"Item30",0.1348,0.0087
