"","P(0)","1-P(1)"
"Item1",0.0129,0.0213
"Item2",0.0768,0.081
"Item3",0.1385,0.0897
"Item4",0.0271,0.0207
"Item5",0.0389,0.1115
"Item6",0.0863,0.1049
"Item7",0.004,0.0559
"Item8",0.1312,0.145
"Item9",0.0095,5e-04
"Item10",0.136,0.105
"Item11",0.0981,0.0293
"Item12",0.0702,0.0979
"Item13",0.0201,0.149
"Item14",0.0998,0.14
"Item15",0.0707,0.1397
"Item16",0.0781,0.0513
"Item17",0.0849,0.1488
"Item18",0.0396,0.0843
"Item19",0.1335,0.0885
"Item20",0.1443,0.0831
"Item21",0.0451,0.0999
"Item22",0.0187,0.1243
"Item23",0.1415,0.1117
"Item24",0.1293,0.0745
"Item25",0.117,0.0406
"Item26",0.089,0.1229
"Item27",0.0666,0.1043
"Item28",0.0383,0.093
"Item29",0.1117,0.0088
"Item30",0.0589,0.0204
