"","P(0)","1-P(1)"
"Item1",0.0721,0.1286
"Item2",0.0036,0.1134
"Item3",0.0124,0.0074
"Item4",0.0572,0.0969
"Item5",0.0384,0.0908
"Item6",0.0626,0.0381
"Item7",0.0246,0.1476
"Item8",0.1069,0.0815
"Item9",0.0318,0.1106
"Item10",0.0147,0.0076
"Item11",0.0889,0.0794
"Item12",0.0428,0.0435
"Item13",0.0818,0.0457
"Item14",0.0159,0.1105
"Item15",0.0473,0.0648
"Item16",0.1409,0.0673
"Item17",0.0112,0.0348
"Item18",0.0654,0.0123
"Item19",0.0604,0.1158
"Item20",0.0732,0.0021
"Item21",0.0147,0.0118
"Item22",0.1472,0.0083
"Item23",0.0306,0.1145
"Item24",0.0011,0.0122
"Item25",0.092,0.0962
"Item26",0.1173,0.0359
"Item27",0.077,0.1489
"Item28",0.0759,0.1286
"Item29",0.1273,0.0206
"Item30",0.076,0.0935
