"","P(0)","1-P(1)"
"Item1",0.0467,0.036
"Item2",0.0661,0.0048
"Item3",0.0925,0.0352
"Item4",0.0105,0.1455
"Item5",0.0483,0.067
"Item6",0.0499,0.0193
"Item7",0.1265,0.0112
"Item8",0.0704,0.0661
"Item9",0.025,0.0135
"Item10",0.1186,0.0685
"Item11",0.0738,0.1051
"Item12",0.1174,0.079
"Item13",0.1298,0.0704
"Item14",0.1018,0.0585
"Item15",0.0894,0.1047
"Item16",0.0033,0.0433
"Item17",0.1092,0.1284
"Item18",0.0292,0
"Item19",0.1181,0.1359
"Item20",0.0344,0.1223
"Item21",0.1286,0.0827
"Item22",0.0704,0.1308
"Item23",0.0344,0.1247
"Item24",0.1074,0.1314
"Item25",0.0771,0.0552
"Item26",0.0449,0.044
"Item27",0.0587,0.03
"Item28",0.0345,0.064
"Item29",0.0659,0.0092
"Item30",0.1299,0.0688
